Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Weather,Predicted_Sales,City_Tier,On_promotion,Outlet
18,Nuts,Snacks,25-04-2023,338,707,5345,Cloudy,370,3,1,3
13,Ice Cream,Dairy,25-04-2023,242,398,5988,Snowy,282,2,0,1
8,Deodorant,Personal Care,25-04-2023,383,992,3119,Rainy,406,2,1,3
23,Sandwich,Fresh Food,25-04-2023,137,652,2470,Windy,128,2,0,3
15,Laundry Detergent,Household Items,25-04-2023,299,298,4586,Snowy,259,2,1,1
23,Sandwich,Fresh Food,25-04-2023,274,458,2722,Cloudy,291,3,0,1
28,Sushi,Fresh Food,25-04-2023,144,962,2330,Windy,165,1,1,3
17,Milk,Dairy,25-04-2023,224,312,9760,Windy,217,3,1,2
18,Nuts,Snacks,25-04-2023,102,392,3608,Windy,105,1,0,3
2,Buttermilk,Dairy,25-04-2023,188,336,4263,Rainy,199,2,1,3
21,Pretzels,Snacks,25-04-2023,305,625,2043,Sunny,253,1,1,3
16,Lotion,Personal Care,25-04-2023,453,511,3159,Windy,482,3,1,3
6,Coffee,Beverages,25-04-2023,398,400,3158,Sunny,380,3,1,1
30,Toothpaste,Personal Care,25-04-2023,379,331,2392,Rainy,389,1,1,3
8,Deodorant,Personal Care,25-04-2023,360,561,2168,Sunny,358,1,1,2
19,Paper Towels,Household Items,25-04-2023,134,236,2845,Snowy,135,3,1,1
12,Garbage Bags,Household Items,25-04-2023,388,451,5024,Snowy,411,1,0,2
9,Dish Soap,Household Items,25-04-2023,326,555,5365,Sunny,299,1,1,2
18,Nuts,Snacks,25-04-2023,351,483,2833,Sunny,362,2,0,2
28,Sushi,Fresh Food,25-04-2023,377,237,4829,Cloudy,412,3,0,2
5,Chips,Snacks,25-04-2023,281,620,5179,Sunny,261,3,0,1
32,Yogurt,Dairy,25-04-2023,263,589,5823,Windy,273,3,0,1
25,Soap,Personal Care,25-04-2023,364,424,2074,Snowy,345,2,1,2
27,Sour Cream,Dairy,25-04-2023,467,573,3082,Windy,486,2,1,2
31,Water,Beverages,25-04-2023,308,207,4993,Cloudy,254,3,0,1
18,Nuts,Snacks,25-04-2023,146,573,4869,Sunny,154,2,1,1
28,Sushi,Fresh Food,25-04-2023,465,773,2723,Windy,488,1,1,1
29,Toilet Paper,Household Items,25-04-2023,130,657,5909,Sunny,134,3,1,3
1,Butter,Dairy,25-04-2023,398,483,5776,Snowy,423,3,1,3
24,Shampoo,Personal Care,25-04-2023,499,661,4607,Cloudy,491,1,0,3
7,Cream,Dairy,25-04-2023,229,239,5845,Rainy,244,3,1,2
25,Soap,Personal Care,25-04-2023,135,745,3921,Cloudy,149,3,1,3
22,Salad,Fresh Food,25-04-2023,108,726,4111,Snowy,104,2,1,2
