Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Weather,Predicted_Sales,City_Tier,On_promotion,Outlet
1,Butter,Dairy,25-04-2023,418,488,7567,Rainy,455,3,0,3
5,Cheese,Dairy,25-04-2023,231,436,1118,Sunny,268,1,1,1
1,Butter,Dairy,25-04-2023,499,205,7567,Windy,504,3,0,3
1,Butter,Dairy,25-04-2023,354,131,7567,Rainy,350,3,1,3
14,Milk,Dairy,25-04-2023,193,173,13567,Sunny,200,1,0,1
6,Cream,Dairy,25-04-2023,435,270,9567,Sunny,480,1,0,1
12,Yogurt,Dairy,25-04-2023,365,436,5567,Rainy,375,3,1,3
5,Cheese,Dairy,25-04-2023,231,168,1138,Rainy,251,2,1,2
12,Yogurt,Dairy,25-04-2023,79,400,5567,Cloudy,69,3,1,3
2,Buttermilk,Dairy,25-04-2023,133,461,1257,Windy,125,3,0,3
12,Yogurt,Dairy,25-04-2023,215,236,5567,Snowy,235,3,1,3
2,Buttermilk,Dairy,25-04-2023,333,199,1371,Cloudy,347,3,1,3
6,Cream,Dairy,25-04-2023,330,245,9567,Sunny,372,1,0,1
2,Buttermilk,Dairy,25-04-2023,145,108,1449,Windy,142,3,0,3
12,Yogurt,Dairy,25-04-2023,430,161,5567,Windy,420,2,0,2
12,Yogurt,Dairy,25-04-2023,315,284,5567,Rainy,311,1,1,1
2,Buttermilk,Dairy,25-04-2023,493,128,1382,Windy,489,2,1,2
1,Butter,Dairy,25-04-2023,347,480,7567,Windy,344,2,1,2
6,Cream,Dairy,25-04-2023,345,213,9567,Sunny,353,2,0,2
14,Milk,Dairy,25-04-2023,274,242,13567,Cloudy,280,2,1,2
5,Cheese,Dairy,25-04-2023,382,489,1159,Windy,382,1,1,1
12,Yogurt,Dairy,25-04-2023,410,219,5567,Rainy,446,1,0,1
5,Cheese,Dairy,25-04-2023,423,269,1476,Cloudy,453,2,1,2
14,Milk,Dairy,25-04-2023,91,256,13567,Rainy,129,2,0,2
5,Cheese,Dairy,25-04-2023,352,434,1425,Windy,352,1,0,1
14,Milk,Dairy,25-04-2023,470,448,13567,Cloudy,497,1,1,1
2,Buttermilk,Dairy,25-04-2023,295,359,1203,Windy,325,1,1,1
1,Butter,Dairy,25-04-2023,257,181,7567,Sunny,296,3,1,3
12,Yogurt,Dairy,25-04-2023,286,341,5567,Cloudy,327,3,1,3
14,Milk,Dairy,25-04-2023,71,271,13567,Rainy,62,3,0,3
5,Cheese,Dairy,25-04-2023,234,330,1206,Sunny,227,2,0,2
12,Yogurt,Dairy,25-04-2023,291,307,5567,Snowy,330,3,0,3
1,Butter,Dairy,25-04-2023,412,174,7567,Rainy,429,2,1,2
2,Buttermilk,Dairy,25-04-2023,332,369,1306,Windy,354,2,0,2
12,Yogurt,Dairy,25-04-2023,90,486,5567,Rainy,90,3,0,3
14,Milk,Dairy,25-04-2023,385,213,13567,Snowy,377,2,0,2
1,Butter,Dairy,25-04-2023,211,161,7567,Rainy,240,3,1,3
5,Cheese,Dairy,25-04-2023,209,461,1212,Sunny,203,3,0,3
1,Butter,Dairy,25-04-2023,138,419,7567,Rainy,179,1,1,1
1,Butter,Dairy,25-04-2023,371,201,7567,Cloudy,381,3,0,3
6,Cream,Dairy,25-04-2023,61,461,9567,Snowy,72,1,0,1
1,Butter,Dairy,25-04-2023,473,309,7567,Rainy,516,3,1,3
1,Butter,Dairy,25-04-2023,122,354,7567,Snowy,148,3,0,3
12,Yogurt,Dairy,25-04-2023,125,119,5567,Sunny,174,1,0,1
5,Cheese,Dairy,25-04-2023,395,157,1387,Cloudy,395,1,0,1
12,Yogurt,Dairy,25-04-2023,250,211,5567,Windy,283,3,1,3
12,Yogurt,Dairy,25-04-2023,59,412,5567,Rainy,70,2,1,2
14,Milk,Dairy,25-04-2023,401,295,13567,Sunny,431,1,0,1
12,Yogurt,Dairy,25-04-2023,275,474,5567,Snowy,317,2,0,2
6,Cream,Dairy,25-04-2023,225,452,9567,Snowy,227,2,0,2
6,Cream,Dairy,25-04-2023,325,191,9567,Sunny,368,2,0,2
14,Milk,Dairy,25-04-2023,88,151,13567,Rainy,129,1,0,1
2,Buttermilk,Dairy,25-04-2023,109,392,1269,Windy,101,2,0,2
5,Cheese,Dairy,25-04-2023,115,107,1426,Rainy,117,1,1,1
5,Cheese,Dairy,25-04-2023,370,399,1196,Cloudy,387,2,1,2
12,Yogurt,Dairy,25-04-2023,484,197,5567,Rainy,527,3,1,3
12,Yogurt,Dairy,25-04-2023,173,335,5567,Cloudy,173,3,0,3
2,Buttermilk,Dairy,26-04-2023,213,488,1348,Snowy,213,1,0,1
12,Yogurt,Dairy,26-04-2023,457,473,5567,Cloudy,467,3,0,3
5,Cheese,Dairy,26-04-2023,460,168,1474,Windy,501,3,1,3
1,Butter,Dairy,26-04-2023,435,144,7567,Sunny,445,2,1,2
6,Cream,Dairy,26-04-2023,208,236,9567,Cloudy,204,1,1,1
1,Butter,Dairy,26-04-2023,106,333,7567,Rainy,112,2,0,2
1,Butter,Dairy,26-04-2023,127,131,7567,Cloudy,164,2,1,2
5,Cheese,Dairy,26-04-2023,243,388,1257,Snowy,246,2,1,2
1,Butter,Dairy,26-04-2023,334,225,7567,Cloudy,356,2,0,2
2,Buttermilk,Dairy,26-04-2023,64,166,1133,Windy,64,2,1,2
14,Milk,Dairy,26-04-2023,61,129,13567,Cloudy,63,2,0,2
12,Yogurt,Dairy,26-04-2023,150,213,5567,Windy,140,2,0,2
14,Milk,Dairy,26-04-2023,205,303,13567,Rainy,228,1,0,1
6,Cream,Dairy,26-04-2023,389,128,9567,Snowy,387,3,1,3
12,Yogurt,Dairy,26-04-2023,174,230,5567,Sunny,176,2,0,2
1,Butter,Dairy,26-04-2023,408,284,7567,Rainy,434,2,0,2
6,Cream,Dairy,26-04-2023,329,352,9567,Rainy,348,2,1,2
12,Yogurt,Dairy,26-04-2023,454,385,5567,Sunny,484,2,0,2
2,Buttermilk,Dairy,26-04-2023,443,492,1388,Cloudy,477,2,0,2
2,Buttermilk,Dairy,26-04-2023,159,485,1224,Cloudy,185,2,0,2
2,Buttermilk,Dairy,26-04-2023,383,161,1103,Cloudy,419,3,0,3
2,Buttermilk,Dairy,26-04-2023,406,102,1437,Snowy,402,3,0,3
1,Butter,Dairy,26-04-2023,195,167,7567,Rainy,198,2,1,2
14,Milk,Dairy,26-04-2023,265,124,13567,Windy,302,3,1,3
12,Yogurt,Dairy,26-04-2023,447,278,5567,Sunny,442,1,0,1
1,Butter,Dairy,26-04-2023,211,240,7567,Rainy,234,2,0,2
2,Buttermilk,Dairy,26-04-2023,177,330,1102,Cloudy,182,1,0,1
14,Milk,Dairy,26-04-2023,363,399,13567,Sunny,403,1,0,1
6,Cream,Dairy,26-04-2023,381,262,9567,Windy,407,2,1,2
6,Cream,Dairy,26-04-2023,199,410,9567,Rainy,224,3,0,3
6,Cream,Dairy,26-04-2023,85,492,9567,Rainy,120,1,0,1
2,Buttermilk,Dairy,26-04-2023,222,229,1359,Snowy,270,2,0,2
6,Cream,Dairy,26-04-2023,469,345,9567,Rainy,464,1,0,1
5,Cheese,Dairy,26-04-2023,71,396,1161,Rainy,68,1,1,1
12,Yogurt,Dairy,26-04-2023,255,271,5567,Windy,268,1,0,1
12,Yogurt,Dairy,26-04-2023,176,163,5567,Windy,168,1,0,1
2,Buttermilk,Dairy,26-04-2023,385,130,1328,Sunny,378,3,0,3
5,Cheese,Dairy,26-04-2023,494,146,1076,Cloudy,515,1,0,1
1,Butter,Dairy,26-04-2023,405,229,7567,Windy,395,1,0,1
1,Butter,Dairy,26-04-2023,489,451,7567,Sunny,512,1,1,1
6,Cream,Dairy,26-04-2023,266,432,9567,Rainy,300,3,1,3
14,Milk,Dairy,26-04-2023,145,209,13567,Sunny,143,1,1,1
1,Butter,Dairy,26-04-2023,466,168,7567,Sunny,467,1,0,1
14,Milk,Dairy,26-04-2023,478,157,13567,Sunny,477,3,0,3
12,Yogurt,Dairy,26-04-2023,213,205,5567,Sunny,212,3,0,3
14,Milk,Dairy,26-04-2023,197,399,13567,Windy,236,3,1,3
12,Yogurt,Dairy,26-04-2023,67,429,5567,Cloudy,100,1,1,1
5,Cheese,Dairy,26-04-2023,343,355,1068,Sunny,386,3,1,3
5,Cheese,Dairy,26-04-2023,244,411,1306,Snowy,281,3,0,3
2,Buttermilk,Dairy,26-04-2023,200,270,1345,Rainy,212,1,0,1
2,Buttermilk,Dairy,26-04-2023,414,482,1465,Rainy,409,3,1,3
6,Cream,Dairy,26-04-2023,172,261,9567,Rainy,185,1,0,1
1,Butter,Dairy,26-04-2023,449,385,7567,Rainy,495,2,1,2
6,Cream,Dairy,27-04-2023,236,170,9567,Rainy,249,3,0,3
12,Yogurt,Dairy,27-04-2023,198,354,5567,Sunny,208,2,0,2
6,Cream,Dairy,27-04-2023,153,473,9567,Cloudy,198,1,1,1
14,Milk,Dairy,27-04-2023,292,154,13567,Snowy,323,3,1,3
12,Yogurt,Dairy,27-04-2023,280,422,5567,Windy,300,1,0,1
2,Buttermilk,Dairy,27-04-2023,255,496,1124,Snowy,291,2,0,2
5,Cheese,Dairy,27-04-2023,247,102,1258,Windy,294,1,1,1
2,Buttermilk,Dairy,27-04-2023,445,125,1232,Windy,475,3,1,3
1,Butter,Dairy,27-04-2023,449,412,7567,Snowy,468,3,1,3
12,Yogurt,Dairy,27-04-2023,386,225,5567,Sunny,431,2,0,2
12,Yogurt,Dairy,27-04-2023,136,152,5567,Rainy,159,1,1,1
14,Milk,Dairy,27-04-2023,191,297,13567,Sunny,198,3,1,3
1,Butter,Dairy,27-04-2023,366,398,7567,Rainy,367,2,0,2
5,Cheese,Dairy,27-04-2023,248,287,1373,Cloudy,272,3,0,3
12,Yogurt,Dairy,27-04-2023,95,285,5567,Windy,91,3,0,3
12,Yogurt,Dairy,27-04-2023,337,404,5567,Snowy,367,1,1,1
14,Milk,Dairy,27-04-2023,64,397,13567,Cloudy,93,3,1,3
6,Cream,Dairy,27-04-2023,93,303,9567,Rainy,107,1,0,1
5,Cheese,Dairy,27-04-2023,450,110,1385,Sunny,445,3,0,3
2,Buttermilk,Dairy,27-04-2023,218,458,1144,Snowy,208,2,0,2
1,Butter,Dairy,27-04-2023,359,453,7567,Windy,394,3,0,3
12,Yogurt,Dairy,27-04-2023,93,245,5567,Cloudy,98,1,0,1
12,Yogurt,Dairy,27-04-2023,147,184,5567,Windy,196,1,1,1
2,Buttermilk,Dairy,27-04-2023,310,199,1108,Rainy,347,2,0,2
5,Cheese,Dairy,27-04-2023,158,203,1452,Windy,151,3,0,3
6,Cream,Dairy,27-04-2023,332,145,9567,Sunny,350,3,0,3
12,Yogurt,Dairy,27-04-2023,421,143,5567,Cloudy,448,2,1,2
5,Cheese,Dairy,27-04-2023,392,377,1319,Cloudy,428,3,1,3
2,Buttermilk,Dairy,27-04-2023,153,280,1073,Sunny,170,3,1,3
14,Milk,Dairy,27-04-2023,305,286,13567,Windy,316,1,0,1
6,Cream,Dairy,27-04-2023,428,213,9567,Sunny,425,3,1,3
1,Butter,Dairy,27-04-2023,255,354,7567,Snowy,276,3,1,3
12,Yogurt,Dairy,27-04-2023,384,480,5567,Sunny,406,2,0,2
5,Cheese,Dairy,27-04-2023,92,479,1169,Windy,94,2,1,2
14,Milk,Dairy,27-04-2023,402,129,13567,Sunny,418,1,0,1
1,Butter,Dairy,27-04-2023,294,363,7567,Rainy,301,3,1,3
5,Cheese,Dairy,27-04-2023,336,197,1483,Sunny,343,3,1,3
5,Cheese,Dairy,27-04-2023,404,412,1474,Sunny,406,3,0,3
1,Butter,Dairy,27-04-2023,322,466,7567,Windy,333,1,1,1
14,Milk,Dairy,27-04-2023,132,428,13567,Snowy,135,1,0,1
2,Buttermilk,Dairy,27-04-2023,159,214,1421,Snowy,159,2,0,2
14,Milk,Dairy,27-04-2023,487,375,13567,Windy,515,1,1,1
6,Cream,Dairy,27-04-2023,239,380,9567,Windy,278,3,0,3
12,Yogurt,Dairy,27-04-2023,337,374,5567,Windy,379,3,0,3
1,Butter,Dairy,27-04-2023,473,360,7567,Rainy,484,1,0,1
2,Buttermilk,Dairy,27-04-2023,446,430,1469,Cloudy,471,3,1,3
1,Butter,Dairy,27-04-2023,300,306,7567,Sunny,306,3,0,3
1,Butter,Dairy,27-04-2023,261,483,7567,Windy,301,1,0,1
14,Milk,Dairy,27-04-2023,340,427,13567,Windy,361,1,1,1
12,Yogurt,Dairy,27-04-2023,182,310,5567,Windy,185,3,0,3
6,Cream,Dairy,28-04-2023,250,314,9567,Snowy,281,3,0,3
5,Cheese,Dairy,28-04-2023,334,139,1304,Windy,380,3,0,3
