Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Temperature,Weather,Predicted_Sales,City_Tier,On_promotion,Outlet
1,Lassi,Dairy,9-28-2023,82,109,1077,47,Sunny,81,2,0,1
1,Lassi,Dairy,9-28-2023,82,99,1068,46,Sunny,70,2,1,3
1,Lassi,Dairy,8-22-2023,71,99,1068,44,Rainy,69,1,1,2
1,Lassi,Dairy,8-22-2022,71,99,1068,41,Winter,70,1,1,2
1,Lassi,Dairy,8-18-2023,71,99,1068,33,Winter,70,2,1,2
1,Lassi,Dairy,8-18-2023,71,99,1068,40,Rainy,69,1,1,3
1,Lassi,Dairy,7-31-2023,71,99,1068,32,Sunny,69,2,0,1
1,Lassi,Dairy,7-16-2021,71,99,1068,43,Winter,68,3,1,1
1,Lassi,Dairy,6-20-2021,71,99,1068,43,Sunny,70,3,1,1
1,Lassi,Dairy,6-20-2021,71,109,1077,39,Rainy,81,1,1,3
1,Lassi,Dairy,5-30-2019,82,109,1077,49,Rainy,81,2,1,2
1,Lassi,Dairy,5-27-2020,82,109,1077,45,Autumn,77,1,1,3
1,Lassi,Dairy,5-27-2020,82,99,1068,40,Sunny,69,2,1,3
1,Lassi,Dairy,4-26-2021,71,99,1068,42,Autumn,70,2,1,1
1,Lassi,Dairy,4-26-2021,71,109,1077,35,Sunny,79,2,1,2
1,Lassi,Dairy,4-24-2023,82,109,1077,39,Winter,80,2,1,1
1,Lassi,Dairy,3-25-2019,82,109,1077,38,Autumn,81,1,1,2
1,Lassi,Dairy,12-21-2019,71,99,1068,40,Autumn,68,2,1,1
1,Lassi,Dairy,12-21-2019,71,99,1068,43,Sunny,70,3,0,1
1,Lassi,Dairy,12-17-2020,71,99,1068,40,Autumn,68,3,0,3
1,Lassi,Dairy,12-16-2021,82,109,1077,48,Autumn,80,2,0,1
1,Lassi,Dairy,12-16-2021,82,109,1077,50,Rainy,80,3,0,2
1,Lassi,Dairy,1-19-2023,71,99,1068,44,Autumn,70,2,0,3
1,Lassi,Dairy,1-19-2023,71,99,1068,36,Winter,69,1,1,2
1,Lassi,Dairy,11-27-2023,71,99,1068,37,Rainy,69,3,1,2
1,Lassi,Dairy,11-27-2023,71,109,1077,43,Autumn,80,2,1,3
1,Lassi,Dairy,11-24-2020,71,99,1068,39,Rainy,70,3,1,2
1,Lassi,Dairy,11-19-2021,82,109,1077,40,Sunny,77,1,1,2
1,Lassi,Dairy,11-17-2022,82,109,1077,47,Winter,78,1,0,3
1,Lassi,Dairy,11-17-2022,82,109,1077,45,Autumn,79,2,1,3
1,Lassi,Dairy,10-31-2021,82,109,1077,44,Sunny,80,1,0,3
1,Lassi,Dairy,10-31-2021,82,109,1077,43,Autumn,80,2,0,3
1,Lassi,Dairy,10-31-2021,82,109,1077,36,Autumn,81,2,1,2
1,Lassi,Dairy,10-14-2020,71,99,1068,32,Rainy,70,1,1,2
2,Butter Milk,Dairy,14-12-2023,87,109,1068,40,Sunny,79,1,0,1
1,Lassi,Dairy,04-11-2023,52,79,1047,39,Winter,51,2,1,2
3,Kiwi,Fruits,27-10-2023,86,99,1065,42,Rainy,44,3,1,3
1,Lassi,Dairy,06-09-2023,82,109,1077,39,Sunny,77,3,1,2
1,Lassi,Dairy,04-09-2023,71,99,1068,47,Autumn,69,1,0,2
4,Flavored Yogurt,Dairy,12-08-2023,74,109,1073,43,Winter,64,2,1,2
1,Lassi,Dairy,10-08-2023,82,109,1077,42,Autumn,79,2,0,2
1,Lassi,Dairy,08-08-2023,71,99,1068,35,Autumn,69,1,0,3
1,Lassi,Dairy,08-08-2023,71,99,1068,41,Rainy,69,2,1,3
5,Pomegranate,Fruits,02-08-2023,95,109,1068,46,Sunny,74,3,1,3
4,Flavored Yogurt,Dairy,07-07-2023,73,99,1067,44,Autumn,77,3,0,2
