Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Weather,Predicted_Sales,City_Tier,Outlet,On_promotion
1,Cream,Dairy,26-09-2023,272,759,2653,Rainy,233,2,3,1
2,Carrot,Vegetables,09-04-2024,188,596,3362,Cloudy,216,3,3,0
3,Beer,Beverages,15-05-2023,188,877,1537,Cloudy,197,1,1,1
4,Juice,Beverages,14-11-2023,438,299,3008,Sunny,463,3,1,0
5,Grapes,Fruits,04-10-2023,365,897,1639,Snowy,307,3,3,0
6,Milk,Dairy,17-03-2024,283,228,1802,Windy,266,1,1,0
7,Cucumber,Vegetables,01-11-2023,153,750,4560,Windy,136,1,1,0
8,Apple,Fruits,12-12-2023,357,521,3105,Rainy,406,3,3,0
9,Cherry,Fruits,16-04-2024,191,598,3659,Rainy,193,2,3,0
9,Cherry,Fruits,12-11-2023,147,839,3036,Snowy,141,1,1,1
10,Orange,Fruits,17-08-2023,280,343,2684,Sunny,246,2,2,0
11,Coffee,Beverages,17-02-2024,269,875,2472,Windy,299,2,3,0
12,Pepper,Vegetables,26-12-2023,356,890,2316,Snowy,354,1,2,0
6,Milk,Dairy,05-08-2023,468,401,3431,Snowy,488,3,3,0
7,Cucumber,Vegetables,22-11-2023,143,583,3071,Cloudy,131,2,3,1
7,Cucumber,Vegetables,09-03-2024,327,348,1209,Snowy,270,3,2,0
13,Soda,Beverages,14-04-2024,158,905,4108,Snowy,176,3,1,0
9,Cherry,Fruits,28-08-2023,132,382,2152,Rainy,115,3,3,1
13,Soda,Beverages,07-02-2024,471,384,3492,Cloudy,481,3,3,0
14,Water,Beverages,13-04-2024,326,469,2904,Rainy,289,1,3,0
15,Yogurt,Dairy,20-01-2024,348,380,3371,Rainy,364,1,1,1
15,Yogurt,Dairy,30-10-2023,186,661,3937,Rainy,201,1,1,1
12,Pepper,Vegetables,08-06-2023,252,349,2134,Sunny,252,1,2,1
6,Milk,Dairy,15-10-2023,183,873,2896,Windy,215,1,2,0
15,Yogurt,Dairy,23-12-2023,426,669,3335,Rainy,485,1,1,1
10,Orange,Fruits,18-04-2024,307,979,1166,Windy,286,2,2,0
9,Cherry,Fruits,30-11-2023,323,416,4453,Cloudy,314,3,3,0
16,Cheese,Dairy,18-10-2023,391,926,2022,Cloudy,422,1,1,1
2,Carrot,Vegetables,18-11-2023,312,338,2718,Rainy,323,1,2,1
14,Water,Beverages,24-05-2023,407,374,2172,Rainy,362,2,2,1
11,Coffee,Beverages,20-04-2024,397,930,2970,Rainy,450,2,1,0
13,Soda,Beverages,19-04-2024,390,288,3081,Rainy,358,1,1,0
17,Potato,Vegetables,05-06-2023,356,659,3338,Snowy,376,3,1,0
5,Grapes,Fruits,21-03-2024,289,329,3257,Snowy,282,1,1,0
14,Water,Beverages,30-01-2024,392,376,2561,Windy,485,1,2,1
1,Cream,Dairy,28-02-2024,389,346,2297,Snowy,425,1,2,1
18,Banana,Fruits,28-12-2023,102,269,2381,Sunny,101,1,2,0
9,Cherry,Fruits,23-12-2023,139,862,4486,Sunny,162,3,3,1
19,Butter,Dairy,16-03-2024,448,243,2107,Rainy,456,3,1,0
4,Juice,Beverages,06-09-2023,429,740,1209,Sunny,408,3,1,1
1,Cream,Dairy,07-02-2024,206,364,1606,Windy,177,1,3,1
5,Grapes,Fruits,28-01-2024,187,360,3195,Sunny,208,2,3,1
15,Yogurt,Dairy,24-05-2023,181,320,2908,Cloudy,169,1,3,1
10,Orange,Fruits,20-04-2024,384,476,4396,Snowy,411,3,1,1
7,Cucumber,Vegetables,25-07-2023,161,853,2541,Windy,171,1,1,1
2,Carrot,Vegetables,06-03-2024,448,482,1586,Cloudy,376,2,3,0
12,Pepper,Vegetables,06-03-2024,473,490,4635,Sunny,490,2,1,0
9,Cherry,Fruits,20-10-2023,374,649,4398,Rainy,350,1,3,1
16,Cheese,Dairy,31-05-2023,224,363,4642,Windy,226,1,1,0
8,Apple,Fruits,03-04-2024,113,920,4064,Sunny,105,1,2,1
5,Grapes,Fruits,26-04-2024,364,939,4846,Rainy,374,1,1,0
2,Carrot,Vegetables,11-06-2023,470,949,3711,Sunny,465,1,1,0
17,Potato,Vegetables,30-11-2023,405,543,2566,Snowy,419,1,2,1
2,Carrot,Vegetables,29-01-2024,471,831,3995,Windy,520,3,2,1
17,Potato,Vegetables,28-11-2023,237,894,4968,Cloudy,195,1,1,0
16,Cheese,Dairy,11-03-2024,359,326,2834,Windy,336,1,1,0
10,Orange,Fruits,17-07-2023,424,312,2967,Sunny,430,2,1,1
18,Banana,Fruits,28-11-2023,365,644,1603,Windy,373,1,3,0
